59507,9,11.96,12,17,1929146
58135,7,10.03,13,19,1962576
57020,4,9.82,12,19,1926667
56530,8,8.89,13,12,1927723
55340,5,8.88,13,15,1948101
57419,9,9.64,13,15,1941241
55436,4,9.34,13,13,1934707
62761,6,12.29,15,16,1983368
58269,6,9.03,15,12,1935528
55119,7,13.13,13,14,1937385
58612,8,10.00,13,11,1966645
56774,3,8.88,15,11,1944150
56751,6,8.68,13,12,1927825
58361,10,9.16,13,14,1936621
58022,8,9.44,13,18,1983964
59201,3,9.57,13,13,1956129
57124,3,9.17,13,12,1940798
59780,11,10.35,13,15,2027786
261490,35,147.04,20,183,7087881
614876,16,1785.36,703,167,27493703
72094,5,19.97,17,24,2425351
75005,3,12.74,18,13,2540238
61816,4,9.97,14,13,2434768
77203,6,17.11,19,23,2512598
31095,3,8.39,4,19,2054894
68920,5,11.07,18,13,2508085
73807,6,12.19,17,19,2519263
66203,4,11.24,17,16,2505083
48921,3,9.52,14,13,2271388
71007,7,14.50,19,23,2551323
69059,3,11.36,18,18,2553311
69475,4,11.49,18,17,2516516
49825,2,9.83,13,12,2260224
70341,3,23.32,18,24,2527564
44554,2,9.42,14,12,2195315
65067,3,11.28,18,23,2522056
32087,4,7.46,7,11,1963865
68344,6,11.52,19,15,2513392
71369,2,12.29,19,16,2504168
25223,1,7.07,0,12,1979285
9231,0,4.93,0,7,1734585
66993,5,11.17,18,12,2508011
41964,2,8.16,13,12,2185636
70130,6,11.30,19,15,2499895
69981,2,12.08,17,21,2524607
43109,4,8.59,10,8,2182999
8205,2,4.65,0,3,1734223
69235,4,11.85,17,18,2501954
71491,6,11.07,18,18,2497339
70076,4,11.24,17,14,2498321
71251,4,14.09,19,17,2496877
26237,3,6.89,4,6,1904790
38652,3,7.28,8,7,2137014
68116,5,10.75,17,13,2494432
58833,4,9.89,13,14,2371643
43587,6,9.54,13,10,2214423
33111,2,8.52,7,11,1986289
71771,7,11.45,18,20,2511284
56568,2,9.91,14,14,2446087
8879,1,4.91,0,5,1744047
46817,3,9.67,13,10,2226955
35273,3,8.43,6,11,1993276
10233,1,5.80,0,0,1723494
67982,5,11.11,18,15,2487749
68338,3,11.34,19,16,2499742
43168,2,9.64,10,17,2195478
32486,7,8.97,8,13,1982350
37241,3,8.32,11,10,2085329
45988,2,9.43,14,15,2217387
45049,2,8.43,14,15,2198803
69612,4,12.17,19,19,2515741
71327,5,11.77,18,14,2512655
27642,3,8.16,4,8,1937451
27898,4,7.21,0,6,1943125
34665,4,6.99,10,8,1613612
7421,1,3.96,0,5,1268257
8167,3,3.73,0,2,1269757
35778,3,7.00,13,4,1625938
8451,1,3.88,0,7,1290188
32866,3,6.56,10,10,1597329
33098,1,6.45,11,10,1599841
8232,0,11.62,0,2,1267457
33839,2,6.46,11,6,1618227
33220,3,5.84,4,7,1607410
34060,2,6.22,13,7,1620572
33275,2,6.38,13,7,1602927
33402,2,5.85,6,4,1605768
7635,1,3.85,0,4,1292185
7696,0,3.95,0,1,1273693
7051,1,3.93,0,1,1269962
33962,4,7.24,10,12,1621630
33856,4,6.22,11,3,1614026
34888,4,6.28,11,5,1627616
7017,1,3.47,0,1,1259713
34423,5,6.52,11,10,1628095
35102,4,6.26,13,9,1633455
34064,2,6.48,10,5,1606213
33728,4,6.34,11,4,1607357
7828,2,3.51,0,0,1267162
24884,0,4.79,2,3,1510658
7334,1,3.78,0,3,1265145
33250,2,5.64,8,5,1624694
32002,3,6.56,3,6,1614009
33943,1,6.85,11,5,1614933
32984,5,7.02,11,4,1604959
32536,4,6.15,11,5,1596908
28290,2,5.97,4,7,1529414
8160,2,4.13,0,3,1273745
33003,1,6.28,11,5,1615789
7408,4,6.18,0,2,1298623
33346,3,6.38,13,8,1620650
32283,4,6.07,11,7,1593413
36362,3,7.73,11,9,1624379
6561,2,3.64,0,6,1270439
33042,3,6.22,11,5,1603910
32049,0,5.98,11,4,1602205
