Linux 4.15.0-213-generic (master) 	12/25/2023 	_x86_64_	(4 CPU)

08:57:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:58:09 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:58:10 AM     all      0.25      0.00      0.25      0.00      0.00     99.49
08:58:11 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
08:58:12 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:58:13 AM     all      0.25      0.00      0.75      0.00      0.00     99.00
08:58:14 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:58:15 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:16 AM     all      0.25      0.00      0.50      0.00      0.00     99.24
08:58:17 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:18 AM     all      0.25      0.00      0.50      0.00      0.00     99.25
08:58:19 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:58:20 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:21 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:22 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:58:23 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:24 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:25 AM     all      0.25      0.00      0.51      0.00      0.00     99.24
08:58:26 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:27 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:28 AM     all      0.25      0.00      1.01      0.00      0.00     98.74
08:58:29 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:58:30 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:31 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:58:32 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:58:33 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:58:34 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:58:35 AM     all      0.25      0.00      0.75      0.00      0.00     98.99
08:58:36 AM     all      0.00      0.00      0.51      0.00      0.00     99.49
08:58:37 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:58:38 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:58:39 AM     all      0.25      0.00      0.51      0.00      0.00     99.24
08:58:40 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:41 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:42 AM     all      0.00      0.00      0.50      0.00      0.00     99.50
08:58:43 AM     all      0.25      0.00      0.75      0.00      0.00     99.00
08:58:44 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:58:45 AM     all      0.00      0.00      0.76      0.00      0.00     99.24
08:58:46 AM     all      0.25      0.00      0.76      0.00      0.00     98.99
08:58:47 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:58:48 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
08:58:49 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
08:58:50 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
08:58:51 AM     all      0.00      0.00      1.25      0.00      0.00     98.75
08:58:52 AM     all      0.00      0.00      0.75      0.00      0.00     99.25
Average:        all      0.80      0.00      0.93      0.00      0.00     98.27
