145721,46703,8,3.92,0,1,91.84,570.67,531.16
13643978,3277442,65,235.84,2,627,80.54,543.59,612.09
48842454,12257266,117,865.21,7,3369,78.36,518.25,571.64
1318517,139644,16,25.56,3,7,90.29,525.13,528.28
10708873,2480855,72,189.70,4,531,86.94,555.79,566.65
16028836,4249938,154,293.77,3,724,87.13,560.91,617.18
4848082,886322,50,83.76,1,259,82.17,519.94,584.01
1311307,142159,20,25.50,5,7,91.04,539.5,591.99
21542633,5319131,62,372.73,1,1131,91.17,579.21,639.9
50164051,12343487,114,880.08,1,3473,94.17,577.98,532.68
50238363,12692745,50,888.47,3,3481,93.41,530.03,635.96
62706893,15139521,143,1097.38,5,4692,87.96,533.97,567.66
50763058,12512937,194,887.09,0,3489,85.83,535.57,543.25
22525167,5610295,77,390.16,1,1216,93.91,572.12,593.88
8488409,1885087,43,148.12,0,423,89.52,525.32,539.46
45210230,11343728,125,803.27,1,3062,81.67,582.7,589.93
29158085,7281937,77,513.39,5,1711,91.03,541.41,631.65
3873419,680847,61,65.92,6,196,92.07,519.07,542.75
