28109188,7084546,51,494.25,1,1568,67.01,1548.55,754.62
58853259,14399599,191,1056.85,4,4285,66.71,1448.07,701.12
69671988,16467058,226,1207.03,4,5250,65.43,1544.29,705.23
7404872,1828283,251,133.47,0,337,64.52,1609.7,707.66
31996993,8086115,77,585.13,0,1952,65.86,1457.01,658.4
28319957,7005175,99,492.70,2,1574,59.89,1637.6,677.14
66928567,16149647,172,1186.84,1,4935,67.27,1568.24,704.25
73396502,17634605,163,1272.93,0,5794,64.48,1595.12,746.24
15447665,4123861,86,272.35,1,712,64.72,1631.22,660.62
41177041,10329770,94,728.19,3,2722,59.65,1419.85,695.5
73516519,18003467,930,1332.64,5,5461,61.13,1541.51,655.12
1398832,174802,39,27.11,0,3,63.19,1521.61,719.08
71582780,16926060,334,1244.37,5,5368,63.47,1626.03,738.04
59983457,15386978,1195,1096.48,5,4250,70.8,1575.28,645.91
