64905553,16495080,291,1181.89,4,4486
19463006,4724234,49,352.43,2,1182
82216660,19891590,175,1454.99,2,6144
70085745,17478909,456,1277.16,4,4888
53933043,13290712,131,951.14,3,3594
45590525,11823980,956,840.83,3,2896
33992447,8182501,68,609.23,3,2409
30520859,7331160,88,550.06,3,2159
25469383,6270541,88,461.84,6,1652
41120141,10031110,197,747.37,3,2764
70803846,18066282,156,1266.36,7,5003
24946931,6152625,114,452.96,4,1625
25126409,6063792,123,451.11,5,1624
38982257,9752688,240,733.11,7,2680
49307520,12121822,119,873.21,6,3225
35441146,8803071,257,647.72,2,2484
24502768,5692311,67,436.41,4,1594
32067340,7805563,71,580.38,4,2270
35197779,8953090,793,641.47,3,2409
27242190,6641096,330,501.21,4,1748
51317034,12458942,141,907.65,2,3500
30857394,7296452,59,556.57,0,2214
30713831,7289666,87,553.96,1,2191
69746604,17465731,433,1269.10,6,4890
29954480,7173521,138,537.12,5,2062
47430242,11593935,108,862.57,4,3143
35562369,8516298,107,639.60,2,2527
28692813,6983156,99,522.66,4,1919
67294379,16864331,111,1207.57,1,4634
19872902,4758523,68,355.98,3,1233
59578082,15085862,176,1098.14,2,4084
25283439,6244280,148,462.74,6,1628
25632035,6145606,70,459.31,2,1658
23719809,5562971,91,423.61,3,1517
6056077,1191483,64,108.98,3,317
25417628,6092997,98,458.54,3,1639
19528085,4792712,96,368.05,7,1181
31561653,7478073,109,572.21,3,2259
40419375,10109220,150,739.12,0,2761
19995576,5008179,417,368.08,4,1168
21518620,5287744,72,389.81,7,1359
73396421,18682460,133,1313.68,2,5224
21616872,5138900,103,389.16,1,1365
34401931,8336935,141,621.00,1,2454
23649031,5628146,232,422.75,3,1471
25532789,6104594,65,458.66,2,1656
68296299,17504471,214,1223.58,4,4720
85464892,20789009,193,1510.69,4,6391
1884510,303763,17,36.78,2,30
32154405,7708595,117,577.29,2,2270
58156826,14866396,110,1039.52,5,3919
73823267,18391057,254,1335.26,1,5258
24144818,5654215,75,428.71,1,1574
71823107,18381008,214,1285.01,2,5074
34023403,8236831,79,613.63,1,2408
71435432,18362895,635,1309.82,4,4998
17235345,4070805,71,309.66,3,1086
35769130,8630384,153,650.25,2,2530
100076463,24651839,190,1761.53,2,7598
35813290,9020980,583,673.46,2,2483
23063828,5521633,91,432.39,5,1411
74043571,18615310,198,1330.17,3,5292
30807809,7297730,77,552.33,4,2213
48652352,11984375,204,875.08,3,3168
44417857,11640064,552,833.11,3,2878
37611000,9168209,71,679.60,1,2626
30290950,7672702,746,571.55,5,1927
84066260,21400075,600,1521.25,7,6175
59163697,14626522,145,1054.15,2,4067
81657279,20138220,210,1482.52,0,6010
37217205,9115336,426,673.23,4,2586
25067965,6152876,76,458.17,4,1624
42249880,10650946,613,791.28,6,2765
91458782,22089032,170,1616.78,4,6878
68899599,17749810,472,1272.82,3,4771
75146880,19185686,185,1352.99,2,5366
36252451,9058952,123,659.61,2,2568
80213442,19855144,172,1439.56,2,5754
31164016,7534173,100,567.04,2,2236
36860062,8918699,251,684.19,6,2588
94007643,23538153,844,1669.30,6,6960
72482305,18811825,456,1321.58,4,5117
34209636,8786885,572,644.61,4,2365
63590390,16201246,1216,1141.59,4,4277
69219520,17415582,330,1262.82,5,4864
80010037,19708452,427,1441.74,2,5714
23762610,5728876,163,443.86,7,1489
66799853,16504777,187,1196.47,0,4607
38656842,9486919,101,701.04,0,2674
54945737,13542404,173,993.86,4,3658
83264971,20202579,133,1471.50,2,6171
43725156,10854064,100,780.35,4,2879
34460520,8400260,219,655.02,7,2431
70308000,17428207,136,1247.93,5,4951
34623243,8953310,687,629.91,5,2377
30699614,7422060,158,562.44,2,2169
32910403,8026344,97,598.80,2,2344
42298823,10442895,137,759.26,5,2832
1454705,208515,16,26.86,0,8
46445344,12236977,396,860.25,4,3135
1450164,198668,29,27.66,5,7
17009062,4437884,72,301.06,1,839
6035943,1349012,180,106.49,4,292
37002512,9644108,109,653.22,3,2349
148653,47980,7,4.02,0,1
